RegistrationNumber,binomial,Percent_overlap,binomial_overlap,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
NHMUK_49.77,Manis crassicaudata,13.0605038945362,1,1948,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1940,3.98
NHMUK_50.29,Manis crassicaudata,25.6067834625776,1,1936,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1930,2.66
NHMUK_57.487,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,0,0,NA,256.56
NHMUK_57.488,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,1,1,NA,256.56
NHMUK_76.138,Manis crassicaudata,25.6067834625776,1,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,0,1930,2.66
NHMUK_76.138,Manis crassicaudata,25.6067834625776,1,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,1,1930,2.66
NHMUK_76.141,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,1,1,NA,256.56
NHMUK_34.3.4.1,Manis crassicaudata,0,0,1933,Asia,Burma,75,EN,Terrestrial,0,0,1930,0.05
NHMUK_77.3.14.8,Manis crassicaudata,15.6313378170982,1,NA,Asia,Sri Lanka,50,EN,Terrestrial,0,0,NA,5.63
NHMUK_91.1.31.1,Manis crassicaudata,18.950989081969,1,NA,Asia,India,50,EN,Terrestrial,0,0,NA,16.7
OMNH_659,Manis crassicaudata,15.0553798918531,1,1965,Asia,Pakistan,75,EN,Terrestrial,0,0,1960,3.036
FMNH_92879,Manis crassicaudata,17.9336661336307,1,1959,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1950,3.51
FMNH_82823,Manis crassicaudata,80.9865724996178,1,1922,Asia,India,75,EN,Terrestrial,0,0,1920,3.69
KU_26648,Manis crassicaudata,21.9007072685464,1,1944,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1940,4.64
FMNH_98264,Manis crassicaudata,11.2695605313584,1,1963,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1960,13.8
MCZ_BOM-5305,Manis crassicaudata,0,0,1810,Asia,India,75,EN,Terrestrial,0,0,1810,60.957
MHNG_MHNG-MAM-1496.018,Manis crassicaudata,0,0,1977,Asia,Pakistan,75,EN,Terrestrial,0,0,1970,88.35
AMNH_M-34255,Manis crassicaudata,15.2811510418287,1,1910,Asia,Sri Lanka,50,EN,Terrestrial,0,0,1910,4.65
MCZ_BOM-1066,Manis crassicaudata,2.69777127036086,1,1700,Asia,India,75,EN,Terrestrial,0,0,1700,49.91
MCZ_BOM-1065,Manis crassicaudata,2.69777127036086,1,1700,Asia,India,75,EN,Terrestrial,1,1,1700,49.91
MCZ_32522,Manis crassicaudata,0,0,1934,Asia,Sri Lanka,100,EN,Terrestrial,0,0,1930,58
RBINS_301B,Manis crassicaudata,0,0,1932,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1930,274.14
ROM_2603230109,Manis crassicaudata,95.1735480347077,1,NA,Asia,India,50,EN,Terrestrial,0,0,NA,1.09962
FMNH_62918,Manis culionensis,24.3714364885312,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.5
AMNH_M-242095,Manis culionensis,24.3714364885312,1,NA,Asia,Philippines,75,CR,Arboreal,1,0,NA,0.5
FMNH_62919,Manis culionensis,14.9791515905081,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.9
FMNH_62917,Manis culionensis,14.5908269571248,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.9
FMNH_62920,Manis culionensis,14.9791515905081,1,1947,Asia,Philippines,75,CR,Arboreal,1,1,1940,0.9
KU_165510,Manis culionensis,9.79353343347181,1,1999,Asia,Philippines,75,CR,Arboreal,0,0,1990,1.126
MCZ_35536,Manis culionensis,2.88196844133613,1,1937,Asia,Philippines,75,CR,Arboreal,0,0,1930,3.036
MCZ_35535,Manis culionensis,2.88196844133613,1,1937,Asia,Philippines,75,CR,Arboreal,1,1,1930,3.036
FMNH_62921,Manis culionensis,0.0478165083464251,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,24.81
AMNH_M-29745,Manis culionensis,13.1795596225402,1,NA,Asia,Philippines,25,CR,Arboreal,0,0,NA,1
AMNH_M-203298,Manis culionensis,0,0,1962,Asia,Philippines,75,CR,Arboreal,0,0,1960,247.57
NHMUK_39.2648,Manis javanica,20.9614196639519,1,1929,Asia,Indonesia,25,CR,Arboreal,0,0,1920,7.23
NHMUK_39.265,Manis javanica,20.9614196639519,1,NA,Asia,Indonesia,25,CR,Arboreal,1,0,NA,7.23
NHMUK_39.2651,Manis javanica,20.9614196639519,1,1929,Asia,Indonesia,25,CR,Arboreal,1,1,1920,7.23
NHMUK_39.2652,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,0,0,NA,54.22
NHMUK_50.758,Manis javanica,20.14394897724,1,1948,Asia,Malaysia,50,CR,Arboreal,0,0,1940,12.22
NHMUK_51.295,Manis javanica,0,0,1932,Asia,Malaysia,100,CR,Arboreal,0,0,1930,1075.93
NHMUK_55.326,Manis javanica,26.960573934474,1,1917,Asia,Thailand,100,CR,Arboreal,0,0,1910,10.09
NHMUK_81.2687,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,0,0,NA,614.26
NHMUK_26.10.4.199,Manis javanica,16.6536292758523,1,1926,Asia,Vietnam,75,CR,Arboreal,0,0,1920,17.47
NHMUK_28.7.1.151,Manis javanica,22.2149319373236,1,1927,Asia,Vietnam,50,CR,Arboreal,0,0,1920,12.62
NHMUK_3.2.6.81,Manis javanica,4.63170448613279,1,1901,Asia,Thailand,25,CR,Arboreal,0,0,1900,36.36
NHMUK_6.11.6.41,Manis javanica,87.9156615625649,1,NA,Asia,Vietnam,25,CR,Arboreal,0,0,NA,0.31
NHMUK_78.6.17.14,Manis javanica,0,0,NA,Asia,Cambodia,100,CR,Arboreal,0,0,NA,421.25
NHMUK_79.11.21.647,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,0,0,NA,594.96
NHMUK_79.11.21.648,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,594.96
NHMUK_79.11.21.649,Manis javanica,24.7016768308587,1,NA,Asia,Indonesia,25,CR,Arboreal,0,0,NA,4.09
NHMUK_79.11.21.650,Manis javanica,24.7016768308587,1,NA,Asia,Indonesia,25,CR,Arboreal,1,1,NA,4.09
NHMUK_79.8.30.9,Manis javanica,0,0,NA,Asia,Borneo,100,CR,Arboreal,0,0,NA,722.82
NHMUK_81.6.30.5,Manis javanica,0,0,NA,Asia,Cambodia,100,CR,Arboreal,1,1,NA,421.25
NHMUK_82.7.24.5,Manis javanica,0,0,NA,Asia,Indonesia,75,CR,Arboreal,0,0,NA,201.38
NHMUK_85.8.1.366,Manis javanica,35.865937190952,1,1875,Asia,Myanmar,25,CR,Arboreal,0,0,1870,0.794
NHMUK_9.1.5.856,Manis javanica,19.8900404023055,1,1907,Asia,Indonesia,75,CR,Arboreal,0,0,1900,10.05
NHMUK_9.1.5.857,Manis javanica,19.8900404023055,1,1907,Asia,Indonesia,75,CR,Arboreal,1,1,1900,10.05
NHMUK_9.1.5.858,Manis javanica,18.4067625784066,1,1907,Asia,Indonesia,75,CR,Arboreal,0,0,1900,11.24
NHMUK_9.1.5.859,Manis javanica,18.491013022248,1,1908,Asia,Indonesia,75,CR,Arboreal,0,0,1900,10.125
NHMUK_9.1.5.860,Manis javanica,10.2374706506847,1,1908,Asia,Indonesia,25,CR,Arboreal,0,0,1900,21.29
NHMUK_92.9.4.12,Manis javanica,2.28661803903565,1,1892,Asia,Malaysia,75,CR,Arboreal,0,0,1890,54.83
NHMUK_98.10.21.5,Manis javanica,0,0,1879,Asia,Thailand,75,CR,Arboreal,0,0,1870,81.39
NHMUK_98.10.5.49,Manis javanica,0,0,1897,Asia,Thailand,100,CR,Arboreal,0,0,1890,103.66
NHMUK_98.8.3.6,Manis javanica,0,0,1898,Asia,Malaysia,100,CR,Arboreal,0,0,1890,118.9
NHMUK_no reg 10,Manis javanica,5.80016567939706,1,NA,Asia,Singapore,25,CR,Arboreal,0,0,NA,32.21
UWBM_UWBM:Mamm:82627,Manis javanica,91.9707700909716,1,2010,Asia,Singapore,75,CR,Arboreal,0,0,2010,0.03
UWBM_UWBM:Mamm:82626,Manis javanica,97.5427967445794,1,2011,Asia,Singapore,75,CR,Arboreal,0,0,2010,0.03
UWBM_UWBM:Mamm:82629,Manis javanica,100,1,2010,Asia,Singapore,75,CR,Arboreal,0,0,2010,0.03
MCZ_35720,Manis javanica,93.9579274340836,1,1937,Asia,Malaysia,75,CR,Arboreal,0,0,1930,0.301
KU_73516,Manis javanica,19.8585460505432,1,1955,Asia,Indonesia,75,CR,Arboreal,0,0,1950,6
FMNH_37989,Manis javanica,24.6158827004141,1,1931,Asia,Laos,75,CR,Arboreal,0,0,1930,7.25
ROM_36802,Manis javanica,20.1767441766909,1,1965,Asia,Malaysia,75,CR,Arboreal,0,0,1960,15.15
MVZ_MVZ:Mamm:119379,Manis javanica,8.12494188424395,1,1954,Asia,Singapore,75,CR,Arboreal,0,0,1950,27.044
AMNH_M-102180,Manis javanica,6.97630107114703,1,1933,Asia,Indonesia,75,CR,Arboreal,0,0,1930,28.2
UWBM_UWBM:Mamm:82628,Manis javanica,6.64816807431131,1,1800,Asia,Singapore,75,CR,Arboreal,0,0,1800,30
USNM_488088,Manis javanica,2.71492056812914,1,1971,Asia,Malaysia,75,CR,Arboreal,0,0,1970,48.5
FMNH_33550,Manis javanica,0,0,1929,Asia,Malaysia,75,CR,Arboreal,0,0,1920,63.79
FMNH_68743,Manis javanica,0,0,1950,Asia,Malaysia,75,CR,Arboreal,0,0,1950,63.79
FMNH_68742,Manis javanica,0,0,1950,Asia,Malaysia,75,CR,Arboreal,1,1,1950,63.79
NCSM_8295,Manis javanica,0,0,NA,Asia,Cambodia,75,CR,Arboreal,0,0,NA,325
MHNG_MHNG-MAM-745.041,Manis javanica,0,0,NA,Asia,Malaysia,75,CR,Arboreal,0,0,NA,488.84
RBINS_299B,Manis javanica,0,0,NA,Asia,Myanmar,75,CR,Arboreal,0,0,NA,709.66
RBINS_299C,Manis javanica,0,0,NA,Asia,Myanmar,75,CR,Arboreal,0,0,NA,1113.26
UWBM_UWBM:Mamm:82865,Manis javanica,8.19181854361503,1,2019,Asia,Singapore,100,CR,Arboreal,0,0,2010,26.93
MCZ_6439,Manis javanica,0,0,1700,Africa,Namibia,100,CR,Arboreal,0,0,1700,736.75
UWBM_UWBM:Mamm:68927,Manis javanica,0,0,1850,Asia,Thailand,100,CR,Arboreal,0,0,1850,1065.72
O_18148,Manis javanica,0,0,NA,Asia,Thailand,100,CR,Arboreal,1,0,NA,1065.72
O_18147,Manis javanica,0,0,NA,Asia,Thailand,100,CR,Arboreal,1,1,NA,1065.72
O_18144,Manis javanica,0,0,NA,Asia,Thailand,100,CR,Arboreal,1,1,NA,1065.72
UAZ_UAZ 08572,Manis javanica,0,0,NA,Asia,Malaysia,100,CR,Arboreal,1,0,NA,1103.94
UAZ_UAZ 08573,Manis javanica,0,0,NA,Asia,Malaysia,100,CR,Arboreal,1,1,NA,1103.94
MVZ_MVZ:Mamm:183663,Manis javanica,0,0,1818,Asia,Malaysia,100,CR,Arboreal,1,0,1810,1103.94
USNM_300925,Manis javanica,0,0,1953,Asia,Malaysia,100,CR,Arboreal,1,0,1950,1103.94
MCZ_6999,Manis javanica,21.1214504236919,1,1907,Asia,Indonesia,50,CR,Arboreal,0,0,1900,5.155
PSM_Mammal-14740,Manis javanica,21.0360838110461,1,NA,Asia,Malaysia,75,CR,Arboreal,0,0,NA,10.71
PSM_Mammal-14739,Manis javanica,21.0360838110461,1,1967,Asia,Malaysia,75,CR,Arboreal,1,0,1960,10.71
PSM_Mammal-14794,Manis javanica,21.0360838110461,1,1970,Asia,Malaysia,75,CR,Arboreal,1,0,1970,10.71
PSM_Mammal-14793,Manis javanica,21.0360838110461,1,1970,Asia,Malaysia,75,CR,Arboreal,1,1,1970,10.71
PSM_Mammal-14792,Manis javanica,21.0360838110461,1,1967,Asia,Malaysia,75,CR,Arboreal,1,1,1960,10.71
PSM_Mammal-14791,Manis javanica,21.0360838110461,1,1966,Asia,Malaysia,75,CR,Arboreal,1,0,1960,10.71
USNM_267387,Manis javanica,16.2017855049671,1,NA,Asia,Indonesia,50,CR,Arboreal,0,0,NA,10.92
USNM_267388,Manis javanica,16.2017855049671,1,NA,Asia,Indonesia,50,CR,Arboreal,1,1,NA,10.92
USNM_267389,Manis javanica,16.2017855049671,1,NA,Asia,Indonesia,50,CR,Arboreal,1,1,NA,10.92
MNHN_MO-1962-2119,Manis javanica,6.46391750809303,1,NA,Asia,Vietnam,50,CR,Arboreal,0,0,NA,30.92
USNM_153975,Manis javanica,2.41738300037978,1,1909,Asia,Indonesia,75,CR,Arboreal,0,0,1900,49.95
UMZC_E.1306,Manis javanica,0,0,1899,Asia,Thailand,100,CR,Arboreal,0,0,1890,105.14
USNM_124242,Manis javanica,18.2072077025472,1,1904,Asia,Myanmar,25,CR,Arboreal,0,0,1900,2.76
USNM_198319,Manis javanica,30.7886135509183,1,1913,Asia,Indonesia,50,CR,Arboreal,0,0,1910,5.415
AMNH_M-101731,Manis javanica,21.9659496174968,1,1932,Asia,Indonesia,25,CR,Arboreal,0,0,1930,7.23
AMNH_M-101730,Manis javanica,21.9659496174968,1,1932,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-101732,Manis javanica,21.9659496174968,1,1932,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-101753,Manis javanica,20.9614196639519,1,1932,Asia,Indonesia,25,CR,Arboreal,1,0,1930,7.23
AMNH_M-101562,Manis javanica,20.9614196639519,1,1932,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102077,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,0,1930,7.23
AMNH_M-102045,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102044,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102043,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102095,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102094,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102041,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102098,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-102097,Manis javanica,20.9614196639519,1,1933,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-101677,Manis javanica,20.9614196639519,1,NA,Asia,Indonesia,25,CR,Arboreal,1,1,NA,7.23
AMNH_M-101566,Manis javanica,20.9614196639519,1,1932,Asia,Indonesia,25,CR,Arboreal,1,1,1930,7.23
AMNH_M-101565,Manis javanica,20.9614196639519,1,1929,Asia,Indonesia,25,CR,Arboreal,1,1,1920,7.23
AMNH_M-101564,Manis javanica,20.9614196639519,1,1929,Asia,Indonesia,25,CR,Arboreal,1,1,1920,7.23
AMNH_M-101563,Manis javanica,20.9614196639519,1,1929,Asia,Indonesia,25,CR,Arboreal,1,1,1920,7.23
USNM_142460,Manis javanica,38.9279254885585,1,1905,Asia,Indonesia,50,CR,Arboreal,0,0,1900,8.17
USNM_142461,Manis javanica,38.9279254885585,1,1905,Asia,Indonesia,50,CR,Arboreal,1,1,1900,8.17
MCZ_36022,Manis javanica,17.8251521123688,1,1937,Asia,Indonesia,75,CR,Arboreal,0,0,1930,9.42
USNM_154924,Manis javanica,19.8900404023055,1,1909,Asia,Indonesia,75,CR,Arboreal,1,0,1900,10.05
USNM_236633,Manis javanica,20.4520943367852,1,1916,Asia,Thailand,50,CR,Arboreal,0,0,1910,11.05
UBCBBM_M008731,Manis javanica,23.1888439800243,1,1961,Asia,Malaysia,75,CR,Arboreal,0,0,1960,12.75
UBCBBM_M008722,Manis javanica,23.1888439800243,1,1961,Asia,Malaysia,75,CR,Arboreal,1,1,1960,12.75
MNHN_MO-1897-1867,Manis javanica,19.4444731362435,1,NA,Asia,Malaysia,75,CR,Arboreal,0,0,NA,15.97
MNHN_MO-1923-391,Manis javanica,13.0700839405176,1,NA,Asia,Vietnam,25,CR,Arboreal,0,0,NA,16.61
USNM_199023,Manis javanica,8.87932667471263,1,1914,Asia,Indonesia,50,CR,Arboreal,0,0,1910,23.69
USNM_358009,Manis javanica,3.89905539093753,1,1968,Asia,Vietnam,50,CR,Arboreal,0,0,1960,40.53
MNHN_MO-1883-41,Manis javanica,2.76969024454999,1,NA,Asia,Thailand,25,CR,Arboreal,0,0,NA,48.59
USNM_317200,Manis javanica,2.30338821231277,1,1960,Asia,Malaysia,50,CR,Arboreal,0,0,1960,53.36
USNM_300924,Manis javanica,2.30338821231277,1,1953,Asia,Malaysia,50,CR,Arboreal,1,0,1950,53.36
USNM_317198,Manis javanica,2.30338821231277,1,1960,Asia,Malaysia,50,CR,Arboreal,1,1,1960,53.36
USNM_317199,Manis javanica,2.30338821231277,1,1960,Asia,Malaysia,50,CR,Arboreal,1,1,1960,53.36
MNHN_MO-1995-30,Manis javanica,1.83522139072316,1,NA,Asia,Vietnam,50,CR,Arboreal,0,0,NA,59.32
USNM_144418,Manis javanica,25.8437046099104,1,1907,Asia,Indonesia,25,CR,Arboreal,0,0,1900,9.39
USNM_113114,Manis javanica,9.38509503999833,1,1901,Asia,Indonesia,100,CR,Arboreal,0,0,1900,25.11
USNM_141165,Manis javanica,0,0,1905,Asia,Indonesia,100,CR,Arboreal,0,0,1900,74.16
USNM_141164,Manis javanica,0,0,1905,Asia,Indonesia,100,CR,Arboreal,1,1,1900,74.16
USNM_104598,Manis javanica,0,0,1900,Asia,Indonesia,100,CR,Arboreal,0,0,1900,136.48
O_18146,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,594.96
O_18145,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,614.26
MHNG_MHNG-MAM-696.072,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,0,0,NA,614.67
MHNG_MHNG-MAM-129.027,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,614.67
MHNG_MHNG-MAM-723.008,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,614.67
MHNG_MHNG-MAM-710.073,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,614.67
MHNG_MHNG-MAM-777.048,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,1,1,NA,614.67
MNHN_MO-1911-1717,Manis javanica,0,0,NA,Asia,Indonesia,100,CR,Arboreal,0,0,NA,767.99
USNM_198852,Manis javanica,0,0,1914,Asia,Indonesia,100,CR,Arboreal,0,0,1910,490
USNM_356430,Manis javanica,19.2411945569396,1,1966,Asia,Vietnam,100,CR,Arboreal,0,0,1960,7.9
AMNH_M-87624,Manis javanica,0,0,1932,Asia,Laos,100,CR,Arboreal,0,0,1930,89.78
AMNH_M-87623,Manis javanica,0,0,1932,Asia,Laos,100,CR,Arboreal,1,1,1930,89.78
AMNH_M-87622,Manis javanica,0,0,1932,Asia,Laos,100,CR,Arboreal,1,1,1930,89.78
MCZ_35956,Manis javanica,99.9512255065875,1,1937,Asia,Thailand,0,CR,Arboreal,0,0,1930,0.301
USNM_321551,Manis javanica,47.2542938370862,1,1961,Asia,Cambodia,100,CR,Arboreal,0,0,1960,2
AMNH_M-32637,Manis javanica,18.2018355492257,1,1910,Asia,Malaysia,75,CR,Arboreal,0,0,1910,16.093
MNHN_MO-1985-104,Manis javanica,0,0,NA,Asia,Laos,100,CR,Arboreal,0,0,NA,516.14
MNHN_MO-1929-411,Manis javanica,0,0,NA,Asia,Laos,100,CR,Arboreal,1,1,NA,516.14
USNM_260592,Manis javanica,0,0,1935,Asia,Thailand,100,CR,Arboreal,1,0,1930,864.12
USNM_535155,Manis javanica,0,0,1954,Asia,Thailand,100,CR,Arboreal,1,0,1950,864.12
