WKT,RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
"POINT (11.891349 -4.201945)",NHMUK_39.2645,Phataginus tricuspis,,Africa,Congo,75,EN,Arboreal,"0","0",,101.46
"POINT (9.299771 5.466773)",NHMUK_39.2647,Phataginus tetradactyla,,Africa,Cameroon,50,VU,Arboreal,"0","0",,3.82
"POINT (108.550401 -6.731546)",NHMUK_39.2648,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"0","0",1920,7.23
"POINT (108.550401 -6.731546)",NHMUK_39.265,Manis javanica,,Asia,Indonesia,25,CR,Arboreal,"1","0",,7.23
"POINT (108.550401 -6.731546)",NHMUK_39.2651,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"1","1",1920,7.23
"POINT (116.31783 -8.644978)",NHMUK_39.2652,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"0","0",,54.22
"POINT (-1.312712 14.492996)",NHMUK_39.4041,Phataginus tetradactyla,,Africa,W. Africa,100,VU,Arboreal,"0","0",,1955.82
"POINT (103.891767 36.519977)",NHMUK_39.4048,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"0","0",,2824.1
"POINT (-0.983333 5.916667)",NHMUK_46.498,Phataginus tetradactyla,1945,Africa,Ghana,75,VU,Arboreal,"0","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.499,Phataginus tricuspis,1945,Africa,Ghana,75,EN,Arboreal,"0","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.5,Phataginus tricuspis,1865,Africa,Ghana,75,EN,Arboreal,"1","0",1860,2.25
"POINT (-11.978516 8.9518)",NHMUK_46.888,Phataginus tricuspis,1945,Africa,Sierra Leone,25,EN,Arboreal,"0","0",1940,0.892
"POINT (-0.983333 5.916667)",NHMUK_46.914,Phataginus tricuspis,,Africa,Ghana,75,EN,Arboreal,"1","0",,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.915,Phataginus tricuspis,1946,Africa,Ghana,75,EN,Arboreal,"1","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.916,Phataginus tricuspis,1946,Africa,Ghana,75,EN,Arboreal,"1","1",1940,2.25
"POINT (92.627435 26.519279)",NHMUK_47.326,Manis pentadactyla,1940,Asia,India,75,CR,Terrestrial,"0","0",1940,92.64
"POINT (9.388466 5.700156)",NHMUK_48.132,Phataginus tricuspis,1932,Africa,Cameroon,50,EN,Arboreal,"0","0",1930,5
"POINT (9.31436 5.751216)",NHMUK_48.1321,Phataginus tricuspis,1932,Africa,Cameroon,25,EN,Arboreal,"0","0",1930,2.02
"POINT (9.31436 5.751216)",NHMUK_48.1322,Phataginus tricuspis,1932,Africa,Cameroon,25,EN,Arboreal,"1","1",1930,2.02
"POINT (9.31436 5.751216)",NHMUK_48.1323,Phataginus tricuspis,1932,Africa,Cameroon,25,EN,Arboreal,"1","1",1930,2.02
"POINT (9.31436 5.751216)",NHMUK_48.1324,Phataginus tricuspis,1933,Africa,Cameroon,25,EN,Arboreal,"1","0",1930,2.02
"POINT (9.31436 5.751216)",NHMUK_48.1325,Phataginus tricuspis,1932,Africa,Cameroon,25,EN,Arboreal,"1","1",1930,2.02
"POINT (9.31436 5.751216)",NHMUK_48.1326,Phataginus tricuspis,,Africa,Cameroon,25,EN,Arboreal,"1","0",,2.02
"POINT (9.415123 5.855208)",NHMUK_48.1327,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"0","0",,8
"POINT (9.135805 6.131289)",NHMUK_48.1328,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"0","0",,23
"POINT (9.135805 6.131289)",NHMUK_48.1329,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"1","1",,23
"POINT (9.135805 6.131289)",NHMUK_48.133,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"1","1",,23
"POINT (9.135805 6.131289)",NHMUK_48.1331,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"1","1",,23
"POINT (9.135805 6.131289)",NHMUK_48.1332,Phataginus tricuspis,,Africa,Cameroon,50,EN,Arboreal,"1","1",,23
"POINT (81.046547 6.866712)",NHMUK_49.77,Manis crassicaudata,1948,Asia,Sri Lanka,25,EN,Terrestrial,"0","0",1940,3.98
"POINT (-11.791922 8.560283)",NHMUK_50.2066,Phataginus tricuspis,1946,Africa,Sierra Leone,100,EN,Arboreal,"0","0",1940,188.72
"POINT (80.594009 8.042156)",NHMUK_50.29,Manis crassicaudata,1936,Asia,Sri Lanka,25,EN,Terrestrial,"0","0",1930,2.66
"POINT (5.252941 6.805251)",NHMUK_50.341,Phataginus tetradactyla,1939,Africa,Nigeria,50,VU,Arboreal,"0","0",1930,35.71
"POINT (97.717 26.55)",NHMUK_50.751,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,"0","0",1930,0.03
"POINT (97.867 26.6)",NHMUK_50.752,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,"0","0",1930,0.03
"POINT (97.567 26.55)",NHMUK_50.753,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,"0","0",1930,0.03
"POINT (101.089304 4.597303)",NHMUK_50.758,Manis javanica,1948,Asia,Malaysia,50,CR,Arboreal,"0","0",1940,12.22
"POINT (109.708193 3.792368)",NHMUK_51.295,Manis javanica,1932,Asia,Malaysia,100,CR,Arboreal,"0","0",1930,1075.93
"POINT (-13.232865 8.465658)",NHMUK_51.333,Phataginus tricuspis,1949,Africa,Sierra Leone,50,EN,Arboreal,"0","0",1940,10.66
"POINT (121.070391 23.443976)",NHMUK_53.658,Manis pentadactyla,,Asia,Republic of China,100,CR,Terrestrial,"0","0",,212.06
"POINT (99.720922 11.756935)",NHMUK_55.326,Manis javanica,1917,Asia,Thailand,100,CR,Arboreal,"0","0",1910,10.09
"POINT (-11.206792 9.769077)",NHMUK_56.61,Phataginus tricuspis,1955,Africa,Sierra Leone,25,EN,Arboreal,"0","0",1950,2.4
"POINT (80.704727 7.608085)",NHMUK_57.487,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,"0","0",,256.56
"POINT (80.704727 7.608085)",NHMUK_57.488,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,"1","1",,256.56
"POINT (-12.3408 7.509437)",NHMUK_59.269,Phataginus tricuspis,1952,Africa,Sierra Leone,75,EN,Arboreal,"0","0",1950,81.78
"POINT (31.66667 -0.41667)",NHMUK_61.1095,Smutsia gigantea,1905,Africa,Uganda,25,EN,Terrestrial,"0","0",1900,4.92
"POINT (29.177197 -2.035015)",NHMUK_61.1096,Smutsia gigantea,1913,Africa,Democratic Republic of the Congo,25,EN,Terrestrial,"0","0",1910,62.79
"POINT (87.55 27.35)",NHMUK_63.36,Manis pentadactyla,1962,Asia,Nepal,75,CR,Terrestrial,"0","0",1960,0.03
"POINT (9.285604 4.081487)",NHMUK_66.3562,Phataginus tricuspis,1965,Africa,Cameroon,25,EN,Arboreal,"0","0",1960,2.42
"POINT (-1.312712 14.492996)",NHMUK_69.371,Smutsia gigantea,,Africa,W. Africa,100,EN,Terrestrial,"0","0",,1955.82
"POINT (32.288218 0.205413)",NHMUK_69.505,Phataginus tricuspis,,Africa,Uganda,100,EN,Arboreal,"0","0",,3.95
"POINT (32.288218 0.205413)",NHMUK_69.506,Smutsia temminckii,,Africa,Uganda,100,VU,Terrestrial,"0","0",,3.95
"POINT (111.263978 28.081975)",NHMUK_73.1585,Manis pentadactyla,,Asia,South China,100,CR,Terrestrial,"0","0",,1266.57
"POINT (80.594009 8.042156)",NHMUK_76.138,Manis crassicaudata,1935,Asia,Sri Lanka,25,EN,Terrestrial,"1","0",1930,2.66
"POINT (80.594009 8.042156)",NHMUK_76.138,Manis crassicaudata,1935,Asia,Sri Lanka,25,EN,Terrestrial,"1","1",1930,2.66
"POINT (80.704727 7.608085)",NHMUK_76.141,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,"1","1",,256.56
"POINT (-2.916667 6.666667)",NHMUK_76.1813,Phataginus tricuspis,1971,Africa,Ghana,50,EN,Arboreal,"0","0",1970,0.7
"POINT (20.482967 6.571232)",NHMUK_79.2034,Phataginus tricuspis,,Africa,Central African Republic,100,EN,Arboreal,"0","0",,787.84
"POINT (19.73666 8.173282)",NHMUK_81.241,Smutsia gigantea,,Africa,Central African Republic,100,EN,Terrestrial,"0","0",,110.96
"POINT (110.71095 -7.613886)",NHMUK_81.2687,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"0","0",,614.26
"POINT (79.616202 22.883478)",NHMUK_81.2688,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"0","0",,1677.15
"POINT (103.891767 36.519977)",NHMUK_81.2689,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"1","1",,2824.1
"POINT (6.316667 5.083333)",NHMUK_1995.25,Phataginus tetradactyla,1994,Africa,Nigeria,75,VU,Arboreal,"0","0",1990,0.03
"POINT (6.0 4.916667)",NHMUK_1996.314,Phataginus tricuspis,1995,Africa,Nigeria,75,EN,Arboreal,"0","0",1990,0.03
"POINT (101.449146 24.340163)",NHMUK_1996.498,Manis pentadactyla,1931,Asia,China,100,CR,Terrestrial,"0","0",1930,587.23
"POINT (6.297028 5.178158)",NHMUK_1998.301,Phataginus tetradactyla,1994,Africa,Nigeria,50,VU,Arboreal,"0","0",1990,3.25
"POINT (6.486505 5.414119)",NHMUK_1998.302,Phataginus tetradactyla,,Africa,Nigeria,25,VU,Arboreal,"0","0",,0.03
"POINT (7.397799 9.077336)",NHMUK_1999.1,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"0","0",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.101,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (8.106306 9.59396)",NHMUK_1999.115,Phataginus tricuspis,1963,Africa,Nigeria,100,EN,Arboreal,"0","0",1960,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.116,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","0",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.117,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.118,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.119,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.12,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.121,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (8.106306 9.59396)",NHMUK_1999.122,Phataginus tricuspis,,Africa,Nigeria,100,EN,Arboreal,"1","1",,756.06
"POINT (7.397799 9.077336)",NHMUK_1999.91,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.92,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.93,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.95,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.96,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.97,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (7.397799 9.077336)",NHMUK_1999.99,Phataginus tricuspis,,Africa,Nigeria,50,EN,Arboreal,"1","1",,21.74
"POINT (9.623019 1.593021)",NHMUK_1.11.21.35,Phataginus tetradactyla,1901,Africa,Equatorial Guinea,25,VU,Arboreal,"0","0",1900,0.795
"POINT (34.307233 -13.215803)",NHMUK_1.4.27.12,Smutsia temminckii,1901,Africa,Malawi,75,VU,Terrestrial,"0","0",1900,442.75
"POINT (29.925927 -15.439372)",NHMUK_1.5.3.4,Smutsia temminckii,,Africa,Zambia,50,VU,Terrestrial,"0","0",,81.95
"POINT (-2.317455 6.461189)",NHMUK_10.6.11.4,Phataginus tricuspis,,Africa,Ghana,25,EN,Arboreal,"0","0",,2.96
"POINT (-2.317455 6.461189)",NHMUK_11.6.2.18,Phataginus tricuspis,,Africa,Ghana,25,EN,Arboreal,"1","1",,2.96
"POINT (8.553639 5.222494)",NHMUK_12.10.28.58,Phataginus tricuspis,1911,Africa,Nigeria,75,EN,Arboreal,"0","0",1910,64.35
"POINT (14.579853 -3.273076)",NHMUK_12.12.3.1,Phataginus tricuspis,,Africa,Congo,25,EN,Arboreal,"0","0",,0.914
"POINT (25.480172 3.517418)",NHMUK_12.12.3.2,Phataginus tricuspis,,Africa,Congo,100,EN,Arboreal,"0","0",,340.5
"POINT (95.252192 20.913933)",NHMUK_14.7.19.238,Manis pentadactyla,,Asia,Myanmar,50,CR,Terrestrial,"0","0",,11.76
"POINT (26.896712 3.135985)",NHMUK_19.5.8.163,Phataginus tricuspis,1914,Africa,Congo,25,EN,Arboreal,"0","0",1910,1.22
"POINT (26.896712 3.135985)",NHMUK_19.5.8.164,Phataginus tricuspis,1914,Africa,Congo,25,EN,Arboreal,"1","1",1910,1.22
"POINT (-11.791922 8.560283)",NHMUK_2.2.14.1,Phataginus tetradactyla,,Africa,Sierra Leone,100,VU,Arboreal,"0","0",,188.72
"POINT (103.891767 36.519977)",NHMUK_2.6.10.63,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"1","1",,2824.1
"POINT (79.616202 22.883478)",NHMUK_21.10.5.4,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,1677.15
"POINT (92.627435 26.519279)",NHMUK_21.8.2.27,Manis pentadactyla,1920,Asia,India,75,CR,Terrestrial,"1","0",1920,92.64
"POINT (8.522538 8.505872)",NHMUK_22.12.17.248,Smutsia gigantea,,Africa,Nigeria,25,EN,Terrestrial,"0","0",,44.4
"POINT (29.542353 1.691277)",NHMUK_22.12.19.38,Phataginus tricuspis,,Africa,Congo,100,EN,Arboreal,"0","0",,257.73
"POINT (18.130845 -26.564225)",NHMUK_25.1.2.262,Smutsia temminckii,1923,Africa,Namibia,50,VU,Terrestrial,"0","0",1920,4.66
"POINT (14.075271 -20.428965)",NHMUK_25.1.2.263,Smutsia temminckii,,Africa,Namibia,100,VU,Terrestrial,"0","0",,255.89
"POINT (17.544676 -12.295286)",NHMUK_25.5.9.1,Smutsia temminckii,,Africa,Angola,100,VU,Terrestrial,"0","0",,897.67
"POINT (108.004496 14.350262)",NHMUK_26.10.4.199,Manis javanica,1926,Asia,Vietnam,75,CR,Arboreal,"0","0",1920,17.47
"POINT (106.107801 11.336605)",NHMUK_28.7.1.151,Manis javanica,1927,Asia,Vietnam,50,CR,Arboreal,"0","0",1920,12.62
"POINT (13.927731 -18.67474)",NHMUK_28.9.11.465,Smutsia temminckii,1927,Africa,Namibia,25,VU,Terrestrial,"0","0",1920,0.182
"POINT (32.580669 0.346651)",NHMUK_28.9.8.37,Phataginus tricuspis,1928,Africa,Uganda,100,EN,Arboreal,"0","0",1920,17.805
"POINT (10.108237 0.170259)",NHMUK_29.4.17.23,Phataginus tetradactyla,1929,Africa,Gabon,25,VU,Arboreal,"0","0",1920,2.04
"POINT (-1.99348 5.301904)",NHMUK_29.5.29.38,Smutsia gigantea,,Africa,Ghana,25,EN,Terrestrial,"0","0",,3.15
"POINT (-1.207301 7.959848)",NHMUK_29.5.29.39,Phataginus tricuspis,,Africa,Ghana,100,EN,Arboreal,"0","0",,385.52
"POINT (-1.207301 7.959848)",NHMUK_29.5.29.40,Phataginus tricuspis,,Africa,Ghana,100,EN,Arboreal,"1","1",,385.52
"POINT (101.135589 6.524132)",NHMUK_3.2.6.81,Manis javanica,1901,Asia,Thailand,25,CR,Arboreal,"0","0",1900,36.36
"POINT (103.84197 22.337791)",NHMUK_33.4.1.506,Manis pentadactyla,1929,Asia,Vietnam,100,CR,Terrestrial,"0","0",1920,31.27
"POINT (103.84197 22.337791)",NHMUK_33.4.1.507,Manis pentadactyla,1929,Asia,Vietnam,100,CR,Terrestrial,"1","1",1920,31.27
"POINT (101.629002 16.184342)",NHMUK_33.4.1.508,Manis pentadactyla,,Asia,Southeast Asia,100,CR,Terrestrial,"0","0",,1672.79
"POINT (107.685 16.109)",NHMUK_33.4.1.509,Manis pentadactyla,,Asia,Vietnam,100,CR,Terrestrial,"0","0",,920.18
"POINT (107.685 16.109)",NHMUK_33.4.1.510,Manis pentadactyla,,Asia,Vietnam,100,CR,Terrestrial,"1","1",,920.18
"POINT (23.286554 -4.901505)",NHMUK_34.11.18.9,Phataginus tricuspis,,Africa,Congo,25,EN,Arboreal,"0","0",,1.75
"POINT (97.400381 27.350319)",NHMUK_34.3.4.1,Manis crassicaudata,1933,Asia,Burma,75,EN,Terrestrial,"0","0",1930,0.05
"POINT (33.005256 0.389564)",NHMUK_34.6.2.92,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"0","0",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.93,Phataginus tricuspis,1933,Africa,Uganda,25,EN,Arboreal,"1","0",1930,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.94,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.95,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.96,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.97,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.98,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (33.005256 0.389564)",NHMUK_34.6.2.99,Phataginus tricuspis,,Africa,Uganda,25,EN,Arboreal,"1","1",,3.82
"POINT (28.678758 7.267784)",NHMUK_34.7.4.1,Smutsia temminckii,,Africa,South Sudan,25,VU,Terrestrial,"0","0",,3.63
"POINT (28.678758 7.267784)",NHMUK_34.7.4.2,Smutsia temminckii,,Africa,South Sudan,25,VU,Terrestrial,"1","1",,3.63
"POINT (-2.515088 6.801757)",NHMUK_35.10.22.150,Phataginus tetradactyla,,Africa,Ghana,25,VU,Arboreal,"0","0",,1.91
"POINT (-1.400363 7.053258)",NHMUK_35.10.22.155,Phataginus tricuspis,1935,Africa,Ghana,25,EN,Arboreal,"0","0",1930,2.97
"POINT (-2.515088 6.801757)",NHMUK_35.10.22.156,Phataginus tricuspis,1934,Africa,Ghana,25,EN,Arboreal,"0","0",1930,1.91
"POINT (-2.515088 6.801757)",NHMUK_35.10.22.157,Phataginus tetradactyla,1934,Africa,Ghana,25,VU,Arboreal,"1","0",1930,1.91
"POINT (26.984392 8.850244)",NHMUK_35.12.18.3,Smutsia gigantea,1935,Africa,South Sudan,100,EN,Terrestrial,"0","0",1930,145.39
"POINT (19.595664 -19.073622)",NHMUK_35.9.1.847,Smutsia temminckii,1929,Africa,Namibia,25,VU,Terrestrial,"0","0",1920,0.396
"POINT (21.944853 -18.129324)",NHMUK_35.9.1.848,Smutsia temminckii,1929,Africa,Namibia,50,VU,Terrestrial,"0","0",1920,210.08
"POINT (79.616202 22.883478)",NHMUK_37.6.10.1,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,1677.15
"POINT (19.595664 -19.073622)",NHMUK_37.9.1.847,Smutsia temminckii,,Africa,Namibia,25,VU,Terrestrial,"1","0",,0.396
"POINT (110.465033 21.104264)",NHMUK_38.9.7.57,Manis pentadactyla,1932,Asia,China,100,CR,Terrestrial,"0","0",1930,32.26
"POINT (110.465033 21.104264)",NHMUK_38.9.7.58,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"1","0",,32.26
"POINT (8.339903 4.976002)",NHMUK_4.3.27.1,Phataginus tetradactyla,,Africa,Nigeria,25,VU,Arboreal,"0","0",,7.45
"POINT (-0.983333 5.916667)",NHMUK_4.6.9.14,Phataginus tricuspis,1846,Africa,Ghana,75,EN,Arboreal,"1","0",1840,2.25
"POINT (83.938548 28.253008)",NHMUK_43.1.12.85,Manis pentadactyla,,Asia,Nepal,100,CR,Terrestrial,"0","0",,467.05
"POINT (-1.312712 14.492996)",NHMUK_43.2.23.2,Phataginus tricuspis,,Africa,W. Africa,100,EN,Arboreal,"0","0",,1955.82
"POINT (83.938548 28.253008)",NHMUK_45.1.12.462,Manis pentadactyla,,Asia,Nepal,100,CR,Terrestrial,"1","1",,467.05
"POINT (-1.312712 14.492996)",NHMUK_46.5.13.18,Phataginus tricuspis,,Africa,W. Africa,100,EN,Arboreal,"1","1",,1955.82
"POINT (88.44133 27.463487)",NHMUK_48.6.11.7,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"0","0",,74.41
"POINT (-1.312712 14.492996)",NHMUK_48.7.11.5,Phataginus tricuspis,,Africa,W. Africa,100,EN,Arboreal,"1","1",,1955.82
"POINT (11.789481 -0.603607)",NHMUK_51.11.6.2,Phataginus tricuspis,,Africa,Gabon,100,EN,Arboreal,"0","0",,381.24
"POINT (24.071906 -30.84085)",NHMUK_52.3.24.2,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,"0","0",,1184.88
"POINT (79.616202 22.883478)",NHMUK_57.1.22.8,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,1677.15
"POINT (88.44133 27.463487)",NHMUK_58.6.24.34,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,74.41
"POINT (88.44133 27.463487)",NHMUK_58.6.24.35,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,74.41
"POINT (108.328834 12.179166)",NHMUK_6.11.6.41,Manis javanica,,Asia,Vietnam,25,CR,Arboreal,"0","0",,0.31
"POINT (32.46335 0.0515)",NHMUK_6.3.8.52,Phataginus tricuspis,,Africa,Uganda,50,EN,Arboreal,"0","0",,5.65
"POINT (-1.312712 14.492996)",NHMUK_63.2.13.23,Phataginus tetradactyla,,Africa,W. Africa,75,VU,Arboreal,"1","1",,1955.82
"POINT (-1.312712 14.492996)",NHMUK_64.12.1.10,Phataginus tetradactyla,,Africa,W. Africa,100,VU,Arboreal,"1","1",,1955.82
"POINT (-1.312712 14.492996)",NHMUK_65.3.30.3,Smutsia gigantea,,Africa,W. Africa,100,EN,Terrestrial,"1","1",,1955.82
"POINT (8.744944 3.620736)",NHMUK_65.3.30.9,Phataginus tricuspis,,Africa,Equatorial Guinea,100,EN,Arboreal,"0","0",,50.4
"POINT (-1.312712 14.492996)",NHMUK_67.5.31.3,Phataginus tetradactyla,,Africa,W. Africa,100,VU,Arboreal,"1","1",,1955.82
"POINT (-1.241613 5.104267)",NHMUK_69.5.13.5,Smutsia gigantea,,Africa,Ghana,50,EN,Terrestrial,"0","0",,8.09
"POINT (27.543497 1.318557)",NHMUK_7.1.2.5,Phataginus tricuspis,,Africa,Congo,25,EN,Arboreal,"0","0",,2.12
"POINT (8.553639 5.222494)",NHMUK_7.11.19.5,Phataginus tricuspis,,Africa,Nigeria,75,EN,Arboreal,"1","0",,64.35
"POINT (116.680543 23.359016)",NHMUK_7.7.3.25,Manis pentadactyla,1900,Asia,China,75,CR,Terrestrial,"0","0",1900,50.3
"POINT (109.657271 19.164059)",NHMUK_72.11.13.1,Manis pentadactyla,1868,Asia,China,100,CR,Terrestrial,"0","0",1860,167.98
"POINT (121.053049 23.387985)",NHMUK_72.11.13.2,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,"0","0",,218.3
"POINT (121.053049 23.387985)",NHMUK_72.11.13.3,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,"1","1",,218.3
"POINT (118.084287 24.485319)",NHMUK_72.11.13.4,Manis pentadactyla,1867,Asia,China,50,CR,Terrestrial,"0","0",1860,46.93
"POINT (118.084287 24.485319)",NHMUK_72.11.13.5,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,"1","0",,46.93
